250 4
3.6	79	3.6	79
1.8	54	1.8	54
3.333	74	3.333	74
2.283	62	2.283	62
4.533	85	4.533	85
2.883	55	2.883	55
4.7	88	4.7	88
3.6	85	3.6	85
1.95	51	1.95	51
4.35	85	4.35	85
1.833	54	1.833	54
3.917	84	3.917	84
4.2	78	4.2	78
1.75	47	1.75	47
4.7	83	4.7	83
2.167	52	2.167	52
1.75	62	1.75	62
4.8	84	4.8	84
1.6	52	1.6	52
4.25	79	4.25	79
1.8	51	1.8	51
1.75	47	1.75	47
3.45	78	3.45	78
3.067	69	3.067	69
4.533	74	4.533	74
3.6	83	3.6	83
1.967	55	1.967	55
4.083	76	4.083	76
3.85	78	3.85	78
4.433	79	4.433	79
4.3	73	4.3	73
4.467	77	4.467	77
3.367	66	3.367	66
4.033	80	4.033	80
3.833	74	3.833	74
2.017	52	2.017	52
1.867	48	1.867	48
4.833	80	4.833	80
1.833	59	1.833	59
4.783	90	4.783	90
4.35	80	4.35	80
1.883	58	1.883	58
4.567	84	4.567	84
1.75	58	1.75	58
4.533	73	4.533	73
3.317	83	3.317	83
3.833	64	3.833	64
2.1	53	2.1	53
4.633	82	4.633	82
2	59	2	59
4.8	75	4.8	75
4.716	90	4.716	90
1.833	54	1.833	54
4.833	80	4.833	80
1.733	54	1.733	54
4.883	83	4.883	83
3.717	71	3.717	71
1.667	64	1.667	64
4.567	77	4.567	77
4.317	81	4.317	81
2.233	59	2.233	59
4.5	84	4.5	84
1.75	48	1.75	48
4.8	82	4.8	82
1.817	60	1.817	60
4.4	92	4.4	92
4.167	78	4.167	78
4.7	78	4.7	78
2.067	65	2.067	65
4.7	73	4.7	73
4.033	82	4.033	82
1.967	56	1.967	56
4.5	79	4.5	79
4	71	4	71
1.983	62	1.983	62
5.067	76	5.067	76
2.017	60	2.017	60
4.567	78	4.567	78
3.883	76	3.883	76
3.6	83	3.6	83
4.133	75	4.133	75
4.333	82	4.333	82
4.1	70	4.1	70
2.633	65	2.633	65
4.067	73	4.067	73
4.933	88	4.933	88
3.95	76	3.95	76
4.517	80	4.517	80
2.167	48	2.167	48
4	86	4	86
2.2	60	2.2	60
4.333	90	4.333	90
1.867	50	1.867	50
4.817	78	4.817	78
1.833	63	1.833	63
4.3	72	4.3	72
4.667	84	4.667	84
3.75	75	3.75	75
1.867	51	1.867	51
4.9	82	4.9	82
2.483	62	2.483	62
